;;;;;;Min;;;;;;;
4 207;11268,84;13084,67;9963,04;9839,9;;;;;;;;;
4 371;10603,58;12743,65;9401,93;9814,68;;;;;;;;;
5 464;9764,39;12350,36;8697,46;9645,29;;;;;;;;;
7 923;8797,81;12051,82;8174,02;9286,86;;;;;;;;;
9 929;8045,61;11793,76;7655,57;8334,74;;;;;;;;;
10 299;7250,39;10385;6988,48;7699,55;;;;;;;;;
10 137;6844,54;8448,9;6892,38;6955,36;;;;;;;;;
10 129;6489,91;7860,45;6893,76;6400,37;;;;;;;;;
10 042;6321,47;7471,19;6680,9;6290,94;;;;;;;;;
10 010;6300,56;7407,72;6537,26;6581,16;;;;;;;;;
10 008;6390,11;7505,93;6632,39;6952,98;;;;;;;;;
9 766;6754,12;7778,08;6794,03;8124,7;;;;;;;;;
10 075;7779,01;8222,51;6912,46;10393,19;;;;;;;;;
10 414;9344,59;9280,15;7258,61;12044,77;;;;;;;;;
10 533;9886,15;10762,35;7373,32;12403,76;;;;;;;;;
10 372;9545,61;11808,57;7667,95;12125,46;;;;;;;;;
9 955;9352,78;12051,9;7956,01;11904,19;;;;;;;;;
9 267;9685,5;12107,96;8172,17;11189,03;;;;;;;;;
8 713;9881;12056,23;8212,76;11037,55;;;;;;;;;
7 361;10071,05;11951,89;8204,55;11203,29;;;;;;;;;
6 192;10466,67;12101,45;8186,07;10490,34;;;;;;;;;
5 629;10907,53;12404,96;8702,87;10174,96;;;;;;;;;
5 202;11340,66;12873,92;9449,39;10476,62;;;;;;;;;
4 954;11212,79;13020,12;10942,18;10695,59;;;;;;;;;
4 971;10889,87;12901,5;11193,96;10502,32;;;;;;;;;
5 214;10417,54;12382,25;11045,62;9415,29;;;;;;;;;
6 299;9605,59;11840,77;10571,52;8257,51;;;;;;;;;
8 247;9059,07;11464,42;9713,04;7281,66;;;;;;;;;
10 225;8335,93;10943,22;9565,08;6486,37;;;;;;;;;
10 506;7468;10038,14;8778,77;5640,38;;;;;;;;;
10 428;6818,86;8448,33;7844,52;4821,61;;;;;;;;;
10 603;6231,86;7782,9;7274,78;4611,06;;;;;;;;;
10 522;6084,09;7262,64;6997,05;4556,98;;;;;;;;;
10 207;6119,2;6970,54;7108,47;4519,08;;;;;;;;;
10 057;6411,61;6909,31;7330,05;4653,23;;;;;;;;;
9 941;7163,88;6958,69;8637,51;5549,16;;;;;;;;;
10 109;9058,57;7300,37;10736,48;7555,58;;;;;;;;;
10 406;10349,35;7974,24;12544,12;9609,71;;;;;;;;;
10 410;10691,42;9112,82;12778,11;10581,7;;;;;;;;;
10 195;10475,91;10245,31;12612,57;10146,5;;;;;;;;;
9 732;10520,97;10878,51;12594,27;10012,98;;;;;;;;;
9 275;10403,63;11411,64;12568,41;9942,44;;;;;;;;;
8 661;10044,14;11398,94;12566,8;9855,35;;;;;;;;;
7 375;9698,87;11152,91;12692,08;9807,84;;;;;;;;;
6 387;9344,68;10885,01;12752,56;9691,9;;;;;;;;;
5 380;9434,22;10894,26;12912,31;9983,94;;;;;;;;;
4 952;10173,93;11303,22;13030,93;10528,18;;;;;;;;;
4 944;10278,28;12045,19;13001,47;11478,1;;;;;;;;;
5 011;10132,53;12352,31;12811,48;11229,25;;;;;;;;;
5 059;9753,25;12031,1;12765,53;10445,96;;;;;;;;;
5 263;9346,04;11427,76;12204,27;8974,37;;;;;;;;;
5 990;8699,65;10831,6;11555,72;7935,82;;;;;;;;;
6 806;8036,36;10405,87;10199,64;6905,32;;;;;;;;;
7 295;7594,8;9075,05;9091,97;5813,09;;;;;;;;;
8 094;6720,54;7312,81;8278,63;5023,1;;;;;;;;;
8 577;6226,63;6754,65;7658,68;4808,95;;;;;;;;;
8 725;6154,55;6703,08;7384,76;4773,34;;;;;;;;;
8 603;6255,62;6666,66;7244,14;4780,9;;;;;;;;;
8 570;6264,03;6984,78;7371,25;4974,67;;;;;;;;;
8 569;6472,17;8317,04;8567,14;6481,89;;;;;;;;;
8 891;6997,38;10741,19;11438,61;8470,73;;;;;;;;;
9 532;8204,84;12636,93;12511,31;10759,18;;;;;;;;;
9 592;9072,29;12905,79;12630,57;11275,46;;;;;;;;;
9 377;9543,71;12668,69;12632,77;10302,62;;;;;;;;;
8 708;9724,2;12405,36;12937,45;10053,7;;;;;;;;;
8 003;9704,33;12296,47;12911,79;10196,24;;;;;;;;;
7 653;9730,66;12202,11;13009,55;10572,99;;;;;;;;;
6 739;9882,52;12753,4;13111,12;10389,48;;;;;;;;;
5 882;10052,61;12971,61;13265,13;10489,64;;;;;;;;;
4 847;10320,68;12936,64;13043,28;11121,9;;;;;;;;;
4 371;11104,19;12814,41;13028,57;12023,55;;;;;;;;;
